eV values,FWHM Values,Rmin,SPR Angle,nGr Values,Sensitivity,Abs Sensitivity,FOM
0.001,1.8,0.0952778730659852,49.464,1.09559199442543,0,0,0
1,1.08000000000001,0.0491937219779948,49.5,1.24490776289075,0.24109978718259,0.24109978718259,0.223240543687582
1.5,0.899999999999999,0.047877234018638,48.924,0.821838180896322,1.972575260372,1.972575260372,2.19175028930223
2,0.719999999999999,0.0439743570462307,48.132,0.59046514096181,2.63696137092411,2.63696137092411,3.66244634850572
2.5,4.176,0.728725339521077,46.26,0.274084374694463,3.90014641744806,3.90014641744806,0.933943107626452
3,3.636,0.0801796404305923,58.644,0.422080548038843,-13.6300578843182,13.6300578843182,3.74864078226573
3.5,1.692,0.0582610559459339,52.344,0.648994092407064,-6.44875398425312,6.44875398425312,3.8113203216626
4,1.404,0.0552953153724114,51.336,0.811331994104821,-6.58552029089091,6.58552029089091,4.69054151772855
4.5,1.332,0.0538051549637142,50.904,0.944196037663447,-9.51148254417346,9.51148254417346,7.14075266079088
5,1.26,0.0535224461105237,50.652,1.05931694743154,-32.7497852780218,32.7497852780218,25.9918930777951
5.5,1.224,0.052607276168441,50.508,1.16230118258734,15.6500180674662,15.6500180674662,12.7859624734201
6,1.188,0.0522405809749168,50.4,1.25632972476662,5.82315053231869,5.82315053231869,4.90164186222111
6.5,1.188,0.0521885504870004,50.328,1.34340652334933,3.48647839072145,3.48647839072145,2.9347461201359
7,1.15199999999999,0.0517711354104465,50.256,1.42488755426332,2.40513416090361,2.40513416090361,2.08779007022884
7.5,1.152,0.0523695952461627,50.184,1.50173952896178,1.77275482127926,1.77275482127926,1.53884967124936
8,1.116,0.0515393309195494,50.148,1.57467972315202,1.4277134624551,1.4277134624551,1.27931313840063
8.5,1.116,0.0513195736076889,50.112,1.64425740672681,1.18104765759145,1.18104765759145,1.05828643153356
9,1.116,0.0512267415771968,50.076,1.71090409935771,0.994617195231916,0.994617195231916,0.891234045906735
9.5,1.116,0.0513123093088674,50.04,1.77496606621839,0.847839244850562,0.847839244850562,0.759712584991543
10,1.08,0.0518861668321745,50.004,1.83672615082052,0.728613025510226,0.728613025510226,0.674641690287248
