eV values,FWHM Values,Rmin,SPR Angle,nGr Values,Sensitivity,Abs Sensitivity,FOM
0.001,1.872,0.112996106861004,49.464,1.06825177174727,0,0,0
1,1.08000000000001,0.0480197017457122,49.536,1.20754393737183,0.516899135548354,0.516899135548354,0.478610310692918
1.5,0.936,0.0474834237335875,48.924,0.854116494910446,2.52177038728416,2.52177038728416,2.69419913171385
2,0.756,0.0455346676821903,48.348,0.676171244808668,2.84635406076865,2.84635406076865,3.76501859890033
2.5,0.468000000000004,0.0424962612730727,47.268,0.478819812815869,3.7256208570387,3.7256208570387,7.96072832700572
3,16.056,0.908305412164241,20.592,0.13493430395474,30.9348115687663,30.9348115687663,1.92668233487583
3.5,5.22,0.100592296658799,62.388,0.429334135413406,-20.22795938794,20.22795938794,3.87508800535249
4,1.98,0.0631698165709994,53.64,0.617966836298166,-9.27412771612036,9.27412771612036,4.68390288692948
4.5,1.62,0.0580194867459096,52.164,0.75911470448287,-8.73398982494305,8.73398982494305,5.39135174379199
5,1.47600000000001,0.0563194458535544,51.552,0.876618692009414,-10.8958223854477,10.8958223854477,7.38199348607563
5.5,1.368,0.0548285465300552,51.192,0.979346738287862,-19.4364698236009,19.4364698236009,14.207945777486
6,1.296,0.0543726206703996,50.976,1.07174483063843,432.858433570674,432.858433570674,333.995704915644
6.5,1.26,0.0538571207215301,50.796,1.15641006559575,15.1091853284879,15.1091853284879,11.9914169273714
7,1.224,0.0531823871232823,50.688,1.23501165409846,7.33989484006884,7.33989484006884,5.99664611116734
7.5,1.224,0.0534177866168127,50.58,1.30869579268125,4.641412981138,4.641412981138,3.7920040695572
8,1.224,0.0528970815313102,50.508,1.37828886392619,3.36733902599472,3.36733902599472,2.75109397548588
8.5,1.188,0.0533925657438653,50.436,1.44440945831103,2.58402269771309,2.58402269771309,2.17510328090328
9,1.188,0.0522451461905895,50.4,1.50753464235526,2.13074550051208,2.13074550051208,1.79355681861286
9.5,1.152,0.0525650338106346,50.364,1.56804138350702,1.80075771649417,1.80075771649417,1.5631577400123
10,1.152,0.0529875364940867,50.292,1.62623362234069,1.4839192334292,1.4839192334292,1.28812433457396
